Model,MAE,RMSE,R² Score
Linear Regression,18953.72514265582,32804.24515694446,0.8597036851824391
Ridge Regression,18926.922552626933,32407.107680072095,0.8630800568555056
ElasticNet,18811.252684095944,32510.13795507982,0.8622080676480235
Lasso Regression,18826.982546869178,32512.758678088725,0.862185851252435
Gradient Boosting,17405.449622024225,28314.172193627786,0.8954813230421392
Random Forest,17702.854383020393,31382.761280089635,0.8715989804136025
XGBoost,16998.655902183233,28111.449618065733,0.896972621726495
